input\1.xlsx,5,System Builder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input\1.xlsx,5,System Builder,2,,Star Properties,,Equations are ideal for stars 0.18-1.2 solar masses and planets >0.01 Earth masses,,,,,,,,Planet Properties,,(see notes and caveats under each column),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input\1.xlsx,5,System Builder,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input\1.xlsx,5,System Builder,4,,,,,,,,,,,,Mass (Earth,Mass (Jupiter,Metal core,water mass,Radius,Radius,Surface area,Density,Semimajor,Period,Period,Period ratio,Synodic day,,,Periapsis,Apoapsis,min separation from,Hill radius,Roche limit,Bond,Equilibrium,CO2 Partial,Avg. surface,Habitable,Primary apparent,Primary apparent,Secondary apparent,Secondary apparent,Surface illumination,Avg Irradiance,Geometric,Planet absolute,Rad abundance,Radiogenic,Priomordial,Tidal heating,Total surface,Tectonic,Surface,Induced tide,Orbit velocity at,Escape velocity,Rotation,Surface-synchronous,Avg. orbital,Min mass gas,0-altitude,Average molar,Altitude of,Distance to
input\1.xlsx,5,System Builder,15,,Bolometric (0) or Visual (1) magnitudes?,,,,,,,,,k,0.289,0.000908805031446541,,,0.712936796324297,,#DIV/0!,4.39549366659026,390.25,762684.218373522,2088.17275866149,2.72448077892914,8542,2142.87300877599,0.336,259.126,521.374,31.1127269337334,161641673.519744,12239,,-141,,#NUM!,#NUM!,0.00874723170170172,#NUM!,0,#NUM!,#NUM!,-0.0717625849934405,,#NUM!,,0,0.0798188343853416,3.08972954753697E-23,0.0798188343853416,Ideal,0.568585502762604,5.27312257486035E-12,5.03503476258767,7.12061444827148,8538.01562221035,1397591.49583427,5.5656332280494,#NUM!,,,#DIV/0!,4.04371567073843
input\1.xlsx,5,System Builder,16,,Bolometric Correction (rough),,,#NUM!,,#NUM!,,-21.7532285186762,,l,0.93,0.00292452830188679,,,0.987796026309732,,#DIV/0!,5.31794732005707,630.15,1564934.88782772,4284.67552247214,2.05187789405825,262.74,142949.064884926,0.032,609.9852,650.3148,35.0280115477801,385344710.802565,18070,,-112,,#NUM!,#NUM!,0.0054171342847662,#NUM!,0,#NUM!,#NUM!,-0.0259361648555111,,#NUM!,,0,0.133800580654615,2.04942903667333E-26,0.133800580654615,Ideal,0.953121791457831,1.43431537035985E-12,7.67338350137353,10.8518030169324,262.738162015525,196987.029136875,4.37989903623024,#NUM!,,,#DIV/0!,4.75980018288893
input\1.xlsx,5,System Builder,17,,Absolute Magnitude,,,#NUM!,#NUM!,#NUM!,#NUM!,,,m,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,0,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,18,,Combined Luminosity,,,,,-10293.6919285049,-10293.6919285049,,,n,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,19,,Combined Absolute Magnitude,,,,,#NUM!,#NUM!,,,o,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,20,,,,,,,,,,,p,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,21,,System Boundaries,,,,,,,,,q,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,22,,,,,,Semimajor axis (AU),,Period (days),,,r,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,23,,Roche limit (Earth),,,,0.0172059040300623,,0.223278368699379,,,s,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,24,,Rockline (rough),,,,#NUM!,,#NUM!,,,t,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,25,,Low-humidity extreme hab limit (rough),,,,-30.3209168554458,,#NUM!,,,u,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,26,,Slow-rotating hab limit,,,,#NUM!,,#NUM!,,,v,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,27,,Optimistic hab inner limit,,,,#NUM!,,#NUM!,,,w,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,28,,Conservative hab inner limit,,,,#NUM!,,#NUM!,,,x,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,29,,Conservative hab outer limit,,,,#NUM!,,#NUM!,,,y,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,30,,Optimistic hab outer limit,,,,#NUM!,,#NUM!,,,z,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,31,,50% H2 hab limit,,,,#NUM!,,#NUM!,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,32,,100 bar H2 hab limit (rough),,,,#NUM!,,#NUM!,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,33,,,,,,,,,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,34,,Tidal-locking radius (12 hour initial),,,,0.283526974569219,,14.9355761930097,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,35,,Early iceline (rough),,,,#NUM!,,#NUM!,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,36,,,,,,,,,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,37,,CO2 required for 273 K surface temp,,,,,,,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,38,,0.01 bar CO2,,,,#NUM!,,#NUM!,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,39,,0.1 bar CO2,,,,#NUM!,,#NUM!,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,40,,1 bar CO2,,,,#NUM!,,#NUM!,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,41,,CO2 bars at conservative outer limit (rough),,,,#NUM!,,,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,42,,,,,,,,,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,43,,Quick Calculators,,,,,,,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,44,,Jupiter mass to Earth mass,,,Sun mass to Earth mass,,,Period ratio to semimajor ratio,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,45,,Jupiter masses,,,Sun masses,,,Period ratio,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,46,,Earth masses,,0,Earth masses,,0,Semimajor axis ratio,,0,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
input\1.xlsx,5,System Builder,47,,Average gas molar mass,,,,,total/,Smaller SMA,,,,,0,,,0,,#DIV/0!,#DIV/0!,,0,0,#DIV/0!,,#DIV/0!,,0,0,N/A,0,0,,#DIV/0!,,#NUM!,N/A,#DIV/0!,#NUM!,#DIV/0!,#NUM!,#NUM!,#DIV/0!,,#NUM!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#NUM!,,,#DIV/0!,0
